parent_chembl_id,name,molecule_type,max_phase,first_approval,withdrawn_flag,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,mw_freebase,alogp,psa,hbd,hba,num_ro5_violations,n_approved_forms,approved_form_chembl_ids,approved_form_names,has_parent_smiles,bbb_martins_probability,bbb_positive,high_confidence_bbb,rdkit_parse_ok,n_fragments,multifragment_flag,elements,special_elements,other_elements,special_element_flag,other_element_flag,heavy_atoms,rotatable_bonds,torsion_gt32_flag,formal_charge,abs_formal_charge,mol_wt_rdkit,tpsa_rdkit,clogp_rdkit,hbd_rdkit,hba_rdkit,ring_count,manual_review_flag,technical_exclusion_reason,docking_compatible,pdbqt_file,vina_affinity_kcal_mol,status,pose_file,log_file,vina_rank
CHEMBL1261,CITRIC ACID,Small molecule,4.0,1982.0,0,O=C(O)CC(O)(CC(=O)O)C(=O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,192.12,192.12,-1.25,132.13,4.0,4.0,0.0,1,CHEMBL1261,CITRIC ACID,1,0.7192694664001464,True,False,True,1,False,C;O,,,False,False,13,5,False,0,0,192.123,132.13,-1.2484999999999995,4,4,0,False,,True,ligands_pdbqt/CHEMBL1261.pdbqt,-5.547,completed,vina_screening_full/poses/CHEMBL1261_out.pdbqt,vina_screening_full/logs/CHEMBL1261.log,638
CHEMBL553,ERLOTINIB,Small molecule,4.0,2004.0,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)",AAKJLRGGTJKAMG-UHFFFAOYSA-N,393.44,393.44,3.41,74.73,1.0,7.0,0.0,2,CHEMBL1079742;CHEMBL553,ERLOTINIB;ERLOTINIB HYDROCHLORIDE,1,0.7288641929626465,True,False,True,1,False,C;N;O,,,False,False,29,10,False,0,0,393.4430000000002,74.73000000000002,3.405100000000002,1,7,3,False,,True,ligands_pdbqt/CHEMBL553.pdbqt,-5.545,completed,vina_screening_full/poses/CHEMBL553_out.pdbqt,vina_screening_full/logs/CHEMBL553.log,639
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,Small molecule,4.0,1959.0,0,O=P1(N(CCCl)CCCl)NCCCO1,"InChI=1S/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)",CMSMOCZEIVJLDB-UHFFFAOYSA-N,261.09,261.09,1.88,41.57,1.0,2.0,0.0,2,CHEMBL1200796;CHEMBL88,CYCLOPHOSPHAMIDE;CYCLOPHOSPHAMIDE ANHYDROUS,1,0.972982120513916,True,True,True,1,False,C;Cl;N;O;P,,,False,False,14,5,False,0,0,261.089,41.57000000000001,1.884,1,2,1,False,,True,ligands_pdbqt/CHEMBL88.pdbqt,-5.542,completed,vina_screening_full/poses/CHEMBL88_out.pdbqt,vina_screening_full/logs/CHEMBL88.log,640
CHEMBL1770916,NIROGACESTAT,Small molecule,4.0,2023.0,0,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,"InChI=1S/C27H41F2N5O/c1-7-8-23(32-20-10-9-18-11-19(28)12-22(29)21(18)13-20)25(35)33-24-14-34(17-31-24)27(5,6)16-30-15-26(2,3)4/h11-12,14,17,20,23,30,32H,7-10,13,15-16H2,1-6H3,(H,33,35)/t20-,23-/m0/s1",VFCRKLWBYMDAED-REWPJTCUSA-N,489.66,489.66,4.79,70.98,3.0,5.0,0.0,2,CHEMBL1770916;CHEMBL4298153,NIROGACESTAT;NIROGACESTAT HYDROBROMIDE,1,0.9202486038208008,True,True,True,1,False,C;F;N;O,,,False,False,35,10,False,0,0,489.65500000000026,70.98,4.786400000000004,3,4,3,False,,True,ligands_pdbqt/CHEMBL1770916.pdbqt,-5.541,completed,vina_screening_full/poses/CHEMBL1770916_out.pdbqt,vina_screening_full/logs/CHEMBL1770916.log,641
CHEMBL1201293,ACAMPROSATE,Small molecule,4.0,2004.0,0,CC(=O)NCCCS(=O)(=O)O,"InChI=1S/C5H11NO4S/c1-5(7)6-3-2-4-11(8,9)10/h2-4H2,1H3,(H,6,7)(H,8,9,10)",AFCGFAGUEYAMAO-UHFFFAOYSA-N,181.21,181.21,-0.6,83.47,2.0,3.0,0.0,2,CHEMBL1201293;CHEMBL2068724,ACAMPROSATE;ACAMPROSATE CALCIUM,1,0.8372023344039917,True,True,True,1,False,C;N;O;S,,,False,False,11,4,False,0,0,181.213,83.47,-0.5995999999999997,2,3,0,False,,True,ligands_pdbqt/CHEMBL1201293.pdbqt,-5.537,completed,vina_screening_full/poses/CHEMBL1201293_out.pdbqt,vina_screening_full/logs/CHEMBL1201293.log,642
CHEMBL668,PROTRIPTYLINE,Small molecule,4.0,1967.0,0,CNCCCC1c2ccccc2C=Cc2ccccc21,"InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-10,12-13,19-20H,6,11,14H2,1H3",BWPIARFWQZKAIA-UHFFFAOYSA-N,263.38,263.38,4.3,12.03,1.0,1.0,0.0,2,CHEMBL1200332;CHEMBL668,PROTRIPTYLINE;PROTRIPTYLINE HYDROCHLORIDE,1,0.993210470676422,True,True,True,1,False,C;N,,,False,False,20,4,False,0,0,263.384,12.03,4.301900000000003,1,1,3,False,,True,ligands_pdbqt/CHEMBL668.pdbqt,-5.537,completed,vina_screening_full/poses/CHEMBL668_out.pdbqt,vina_screening_full/logs/CHEMBL668.log,643
CHEMBL1059,PREGABALIN,Small molecule,4.0,2004.0,0,CC(C)C[C@H](CN)CC(=O)O,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",AYXYPKUFHZROOJ-ZETCQYMHSA-N,159.23,159.23,1.08,63.32,2.0,2.0,0.0,1,CHEMBL1059,PREGABALIN,1,0.8656016945838928,True,True,True,1,False,C;N;O,,,False,False,11,5,False,0,0,159.229,63.32000000000001,1.0821,2,2,0,False,,True,ligands_pdbqt/CHEMBL1059.pdbqt,-5.536,completed,vina_screening_full/poses/CHEMBL1059_out.pdbqt,vina_screening_full/logs/CHEMBL1059.log,644
CHEMBL1477036,DOCUSATE,Small molecule,4.0,,0,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,"InChI=1S/C20H38O7S/c1-5-9-11-16(7-3)14-26-19(21)13-18(28(23,24)25)20(22)27-15-17(8-4)12-10-6-2/h16-18H,5-15H2,1-4H3,(H,23,24,25)",HNSDLXPSAYFUHK-UHFFFAOYSA-N,422.58,422.58,4.15,106.97,1.0,6.0,0.0,2,CHEMBL1477036;CHEMBL1905872,DOCUSATE;DOCUSATE SODIUM,1,0.7482993602752686,True,False,True,1,False,C;O;S,,,False,False,28,16,False,0,0,422.5840000000002,106.97,4.152100000000004,1,6,0,False,,True,ligands_pdbqt/CHEMBL1477036.pdbqt,-5.534,completed,vina_screening_full/poses/CHEMBL1477036_out.pdbqt,vina_screening_full/logs/CHEMBL1477036.log,645
CHEMBL3358920,ETRASIMOD,Small molecule,4.0,2023.0,0,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,"InChI=1S/C26H26F3NO3/c27-26(28,29)22-11-15(5-8-19(22)16-3-1-2-4-16)14-33-18-7-10-23-21(13-18)20-9-6-17(12-24(31)32)25(20)30-23/h5,7-8,10-11,13,16-17,30H,1-4,6,9,12,14H2,(H,31,32)/t17-/m1/s1",MVGWUTBTXDYMND-QGZVFWFLSA-N,457.49,457.49,6.93,62.32,2.0,2.0,1.0,2,CHEMBL3358920;CHEMBL3989933,ETRASIMOD;ETRASIMOD ARGININE,1,0.7880976676940918,True,False,True,1,False,C;F;N;O,,,False,False,33,6,False,0,0,457.49200000000025,62.31999999999999,6.927800000000006,2,2,5,False,,True,ligands_pdbqt/CHEMBL3358920.pdbqt,-5.532,completed,vina_screening_full/poses/CHEMBL3358920_out.pdbqt,vina_screening_full/logs/CHEMBL3358920.log,646
CHEMBL141,LAMIVUDINE,Small molecule,4.0,1995.0,0,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",JTEGQNOMFQHVDC-NKWVEPMBSA-N,229.26,229.26,-0.59,90.37,2.0,7.0,0.0,1,CHEMBL141,LAMIVUDINE,1,0.8759788632392883,True,True,True,1,False,C;N;O;S,,,False,False,15,2,False,0,0,229.261,90.37,-0.5941000000000001,2,6,2,False,,True,ligands_pdbqt/CHEMBL141.pdbqt,-5.529,completed,vina_screening_full/poses/CHEMBL141_out.pdbqt,vina_screening_full/logs/CHEMBL141.log,647
